因子,使用位置,权重,方向,解释
ret_20,成长,0.10,越高越好,近20个交易日收益率，捕捉短期强度，但权重较低，避免只追短线。
ret_60,成长/稳定红利/周期价值,0.25/0.05/0.20,越高越好,近60个交易日收益率，是行业轮动的核心中期动量。
ret_120,成长/周期价值,0.15/0.15,越高越好,近120个交易日收益率，用来确认中长期趋势不是短反弹。
relative_ret_60,成长/周期价值,0.15/0.20,越高越好,ETF近60日收益减沪深300近60日收益，衡量是否有相对大盘的超额强度。
trend_structure,成长,0.15,越高越好,价格站上关键均线且短均线强于长均线时更高。
vol_20,成长/稳定红利/周期价值,-0.10/-0.10/-0.10,越低越好,近20日年化波动率，惩罚短期剧烈波动。
premium_20,成长,-0.10,越低越好,当前价格相对20日均线偏离度，偏离过大说明可能短线过热。
amount_crowding,成长/周期价值,-0.05/-0.05,越低越好,近20日成交额相对近120日成交额的放大程度，用来识别拥挤交易。
valuation_percentile,成长,-0.05,越低越好,估值历史分位，成长池里估值越高越扣分。
dividend_yield_abs,稳定红利/周期价值,0.15/0.05,越高越好,成分股加权估算的股息率绝对水平，偏向真实红利资产。
dividend_yield_percentile,稳定红利,0.15,越高越好,当前股息率在同类/自身历史中的相对位置，避免只看绝对值。
dividend_spread,稳定红利,0.20,越高越好,股息率减10年国债收益率，衡量红利资产相对无风险利率的吸引力。
dividend_spread_percentile,稳定红利,0.15,越高越好,红利利差的历史分位，用来判断红利吸引力是否处在较好位置。
valuation_score,稳定红利/周期价值,0.15/0.15,越高越好,由PB/PE自身历史分位换算，估值越便宜得分越高。
drawdown_risk_60,稳定红利/周期价值,-0.05/-0.10,越低越好,近60日最大回撤风险，周期价值惩罚更重。
index_trend_score,市场状态,状态分,越高越好,沪深300相对MA60/MA120/MA250的位置，用来判断大盘趋势层级。
breadth_score,市场状态,状态分,越高越好,ETF池里站上MA60的比例，衡量市场赚钱效应宽度。
risk_score,市场状态,状态分,越高越好,沪深300近60日回撤风险，深回撤时降低风险预算。
structure_score,市场状态/仓位修正,状态分,越高越好,Top3 ETF强度、正收益ETF占比、相对沪深300超额共同确认结构性行情。
margin_risk_score,市场状态/仓位修正,风险扣分,越低越危险,融资余额高分位且指数跌破MA20时视为杠杆过热后转弱，降低成长和周期仓位。
